company,title,location,remote_type,department,employment_type,experience_min,experience_max,posted_date,apply_url,first_seen_at
Comcast,"Manager, Learning Enablement",2 Locations,,,,,,2026-05-26T17:52:40.363985,https://comcast.wd5.myworkdayjobs.com/en-US/Comcast_Careers/job/Virtual/Manager--Learning-Enablement_R436050,2026-05-26T17:51:34.571333
Comcast,Residential Installation & Service Technician,"TN - Hendersonville, 214 Molly Walton Rd",,,,,,2026-05-26T17:52:40.363948,https://comcast.wd5.myworkdayjobs.com/en-US/Comcast_Careers/job/TN---Hendersonville-214-Molly-Walton-Rd/Residential-Installation---Service-Technician_R432948,2026-05-26T17:51:34.571333
Comcast,Xfinity Retail Sales Consultant,"CA - Oakland, 3070 E 9th St - Retail XFR3102",,,,,,2026-05-19T17:52:40.366575,https://comcast.wd5.myworkdayjobs.com/en-US/Comcast_Careers/job/CA---Oakland-3070-E-9th-St---Retail-XFR3102/Xfinity-Retail-Sales-Consultant_R437787,2026-05-26T17:51:34.571333
Gusto,"Staff Software Engineer, Developer Productivity Async","Denver, CO;San Francisco, CA;New York, NY;Los Angeles, CA;Seattle, WA;Toronto, Ontario, CAN - Remote",remote,Engineering,,10,,2026-05-26T13:49:55,https://job-boards.greenhouse.io/gusto/jobs/7947658,2026-05-26T17:51:34.571333
HPE,SLED Cybersecurity Sales Specialist,"All, Texas, United States of America",,,,,,2026-05-26T17:52:17.304244,https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/All-Texas-United-States-of-America/SLED-Cybersecurity-Sales-Specialist_1206691-1,2026-05-26T17:51:34.571333
OpenAI,"Software Engineer, Ads Manager",Seattle,,Applied AI,Full-time,7,,2026-05-26T17:44:41.959000,https://jobs.ashbyhq.com/openai/5a4eed17-29d5-41cb-856e-09bfdaffe017,2026-05-26T17:51:34.571333
Oscar Health,"Associate Director, Insurance Product Insights & Intelligence",Remote,remote,Insurance Operations,,8,,2026-05-26T13:49:00,http://www.hioscar.com/careers/7952114?gh_jid=7952114,2026-05-26T17:51:34.571333
Salesforce,Customer Success Manager - Core (Sales & Service) Clouds,2 Locations,,,,,,2026-05-26T17:52:05.360918,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Canada---Toronto/Customer-Success-Manager---Core--Sales---Service--Clouds_JR343803-1,2026-05-26T17:51:34.571333
Salesforce,"Senior Director, Product Management - Enterprise Data & Knowledge Platforms",California - San Francisco,,,,,,2026-05-26T17:52:05.360968,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/California---San-Francisco/Senior-Director--Product-Management---Enterprise-Data---Knowledge-Platforms_JR342202,2026-05-26T17:51:34.571333
Skroutz,The Skroutz 'Add to Favorites' Pitch,"Athens, Attica, Greece",,,,,,,https://apply.workable.com/skroutz/j/4FFDCB70B4,2026-05-26T17:51:34.571333
Spotawheel,Car Tinsmith / Blacharz samochodowy (Kolonia Lesznowola),"Kolonia Lesznowola, Masovian Voivodeship, Poland",,,,,,,https://apply.workable.com/spotawheel/j/53BA9639E1,2026-05-26T17:51:34.571333
Spotawheel,Steel Fixer (Kolonia Lesznowola),"Kolonia Lesznowola, Masovian Voivodeship, Poland",,,,,,,https://apply.workable.com/spotawheel/j/926559136B,2026-05-26T17:51:34.571333
T-Mobile,Mobile Associate - Retail Sales,"Levittown, Pennsylvania",,,,,,2026-05-26T17:52:13.638551,https://tmobile.wd1.myworkdayjobs.com/en-US/External/job/Levittown-Pennsylvania/Mobile-Associate---Retail-Sales_REQ355927-1,2026-05-26T17:51:34.571333
T-Mobile,Mobile Associate - Retail Sales,"Buffalo, New York",,,,,,2026-05-26T17:52:13.638583,https://tmobile.wd1.myworkdayjobs.com/en-US/External/job/Buffalo-New-York/Mobile-Associate---Retail-Sales_REQ356059-1,2026-05-26T17:51:34.571333
T-Mobile,Mobile Associate - Retail Sales,"DeWitt, New York",,,,,,2026-05-26T17:52:13.638598,https://tmobile.wd1.myworkdayjobs.com/en-US/External/job/DeWitt-New-York/Mobile-Associate---Retail-Sales_REQ356108-1,2026-05-26T17:51:34.571333
T-Mobile,"Mobile Associate, Store-in-Store, Bilingual","Denver, Colorado",,,,,,2026-05-26T17:52:13.638609,https://tmobile.wd1.myworkdayjobs.com/en-US/External/job/Denver-Colorado/Mobile-Associate--Store-in-Store--Bilingual_REQ356335-2,2026-05-26T17:51:34.571333
Target,service & engagement team leader,"4225 Crestview Dr, Rio Rancho,NM 87124-5903",,,,,,2026-05-26T17:52:10.390504,https://target.wd5.myworkdayjobs.com/en-US/targetcareers/job/4225-Crestview-Dr-Rio-RanchoNM-87124-5903/service---engagement-team-leader_R0000440351,2026-05-26T17:51:34.571333
Twilio,Senior Strategic Account Executive,Remote - US,remote,Sales,,5,8,2026-05-22T17:07:34,https://job-boards.greenhouse.io/twilio/jobs/7947151,2026-05-26T17:51:34.571333
Workday,Large Enterprise Account Executive - oCFO,"USA, CA, Pleasanton",,,,,,2026-05-26T17:52:15.338477,https://workday.wd5.myworkdayjobs.com/en-US/Workday/job/USA-CA-Pleasanton/Large-Enterprise-Account-Executive---oCFO_JR-0106841,2026-05-26T17:51:34.571333
Workday,Sr Customer Success Manager,"USA, GA, Atlanta",,,,,,2026-05-26T17:52:15.338446,https://workday.wd5.myworkdayjobs.com/en-US/Workday/job/USA-GA-Atlanta/Sr-Customer-Success-Manager_JR-0106648-1,2026-05-26T17:51:34.571333
Workday,"Sr. Principal Program Manager, Business Technology PMO",2 Locations,,,,,,2026-05-26T17:52:15.338495,https://workday.wd5.myworkdayjobs.com/en-US/Workday/job/USA-CA-Pleasanton/Sr-Principal-Program-Manager--Business-Technology-PMO_JR-0105865,2026-05-26T17:51:34.571333
